STUDY_ID,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2,LAT,LON
253,North Temperate Lakes LTER Zooplankton - Trout Lake Area 1982 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,40,NTL LTER Information Manager,NTL LTER Lead PI,46.03448617192045,-89.6673126771043
254,North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current,Small lake ecosystems,Temperate,Freshwater,Plants,26,John J. Magnuson,NTL LTER,43.13559844359355,-89.47808183087945
255,Multi-decade. spatially explicit population studies of canopy dynamics in Michigan old-growth forests,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,15,Kerry D. Woods,NA,46.36669570300054,-87.13329488924306
257,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - new net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,4,Emily Stanley,NA,43.081113919090704,-89.38316054255374
270,Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community.,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Plants,4,Francisco Lloret,NA,41.29999560739375,1.8999998825173134
271,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000",Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Dan Reed,NA,34.30564943939358,-119.87491296526738
272,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA,34.305542907227526,-119.87585206483506
273,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA,34.305542907227526,-119.87585206483506
274,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact",Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,15,Dan Reed,NA,34.30564943939358,-119.87491296526738
275,Response of an urban remnant reptile community to summer wildfire,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Reptiles,6,Dr Rob A. Davis,Dr Tim S. Doherty,-31.96753612111054,115.83329594956271
276,Eutrophication and Dreissena Invasion as Drivers of Biodiversity A Century of Change in the Mollusc Community of Oneida Lake,Small lake ecosystems,Temperate,Freshwater,Invertebrates,96,Vadim Karatayev,NA,43.20000168062129,-76.06669908634032
294,Tam Dao Butterfly communities,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Invertebrates,11,Timothy C Bonebrake,Lie Van Vu,21.0832967555839,105.10000206219861
298,Long-term mapped quadrats from Kansas prairie demographic information for herbaceaous plants,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,70,Peter B Adler,NA,38.79999938065354,-99.29999822390974
299,Elba Island Butterflies,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Invertebrates,101,Leonardo Dapporto,NA,42.77000346955885,10.300000172701603
300,Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,25,Doug Landis,Stuart Gage,42.408849107907194,-85.38317607684259
301,Konza Prarie grasshoppers -  CGR022,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Invertebrates,37,Ellen Welti,Anthony Joern,39.08101796678032,-96.58277375809067
302,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,10,Tiago Egydio Barreto,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",-22.379003525760627,-49.68030366948429
303,The influence of environmental variables on tree species component dynamics in a montane forest fragment in Lages SC Brazil Influencia de variaveis ambientais na dinamica do componente arboreo em um fragmento de Floresta Ombrofila Mista em Lages SC,Tropical and subtropical moist broadleaf forests,Temperate/Tropical,Terrestrial,Plants,9,Pedro Higuchi,Ana Carolina da Silva,-27.859713160851538,-50.194291867214645
305,Population estimates of Appalachian salamanders. Coweeta LTER,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Amphibians,15,R Haven Wiley,NA,35.000000393665154,-83.5000033803891
306,Edwin S. George Reserve Turtles. The Global Population Dynamics Database Version 2,Small lake ecosystems,Temperate,Freshwater,Reptiles,18,Barry Brook,NA,42.45699715468311,-83.94599693247919
307,Kellogg LTER seed bank,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,10,Sven Bohm,Kay Gross,42.408849107907194,-85.38317607684259
308,Long Term Mammal Data from Powdermill Biological Station 1979-1999,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,21,Joseph F Merritt,NA,40.17073605125152,-79.26017334329504
311,Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,33,Donald W. Kaufman,NA,39.08332944603091,-96.5833332010564
312,Stability in a Multi-Species Assemblage of Large Herbivores in East Africa,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,26,Herbert Henri Theodore Prins,NA,3.499999818957155,35.74999885340404
313,Successional Dynamics on a Resampled Chronosequence Core Old Field Grasshopper Sampling,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,18,Knops Johannes,Tilman David,45.39999691672869,-93.19999500770899
314,Successional Dynamics on a Resampled Chronosequence Small mammal abundance,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,3,Knops Johannes,Tilman David,45.39999691672869,-93.19999500770899
315,Jornada Grasshopper Data,Deserts and xeric shrublands,Temperate,Terrestrial,Invertebrates,3,John Anderson,David Lightfoor,32.61999571730962,-106.74000091204861
316,Lizard pitfall trap data (LTER-II LTER-III),Deserts and xeric shrublands,Temperate,Terrestrial,Reptiles,18,John Anderson,David Lightfoot,32.61999571730962,-106.74000091204861
317,Mangrove Forest Growth from the Shark River Slough Everglades National Park (FCE) South Florida from January 1995 to Present,Flooded grasslands and savannas,Temperate,Terrestrial,Plants,11,Robert ATwilley,Victor Rivera-Monroy,25.335997613163546,-80.85566307330146
319,Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Multiple,15,Dustin J. Wilgers,NA,37.250003404637184,-96.71665929722506
321,Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,13,Robert Schooley,NA,32.55033437024081,-106.81156459392429
322,Forest destructuring as revealed by the temporal dynamics of fundamental species - Case study of Santa Genebra Forest in Brazil,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,22,Fabiano Turini Farah,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",-22.824997443688193,-47.10579583216529
323,The Response of Anolis Lizards to Hurricane-Induced Habitat Changes in a Puerto Rican Rain Forest.,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Reptiles,4,Douglas Reagan,NA,18.317599040952448,-65.78239882360694
324,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,-15.822691803880133,-48.99437035301375
325,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,-15.822691803880133,-48.99437035301375
326,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,-15.822691803880133,-48.99437035301375
327,Fray Jorge Small Mammals 1989-2005,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Mammals,17,Douglas A. Kelt,NA,-30.59999733956117,-71.69999709708051
328,The Rainbow Bay Long-term Study,Small river ecosystems,Temperate,Freshwater,Amphibians,30,David Scott,NA,32.26000174314254,-81.62999742275242
329,Twenty years tree demography in an undisturbed Dipterocarp permanent sample plot at Uppangala Western Ghats of India,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,21,N. Ayyappan,NA,12.537504312070311,75.66277473472384
332,Stream Fish Assemblage stability in a southern Appalachian stream (Coweeta Hydro Lab 1984 - 1995),Small river ecosystems,Temperate,Freshwater,Fish,12,Gary D Grossman,NA,35.05889921015781,-83.43189793997036
333,Weekly record of bird species observed on Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,29,JMB,J Briggs,39.08332944603091,-96.5833332010564
334,"Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2015 Arctic LTER, Toolik Lake, Alaska",Tundra,Polar,Terrestrial,Plants,19,Gaius Shaver,Arctic LTER Data Manager,68.62964516269645,-149.5757107318985
335,Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage  a test of community theory,Small river ecosystems,Temperate,Freshwater,Fish,13,Gary D Grossman,NA,39.56219877819799,-87.40389447345105
336,Long term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal Arizona,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,14,Morgan Ernest,Tom Valone,31.938885263045705,-109.07969835567253
337,Mountain Birdwatch,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,11,John D. Lloyd,Kent P. McFarland,44.24999678246601,-72.1875034076988
338,Dynamics and Organization of a Rocky Intertidal Fish Assemblage,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,3,Gary D Grossman,NA,37.99999891608482,-122.99999842644014
339,Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,57,Soren Svensson,NA,55.71667007755837,13.333325891075068
340,"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (1995-2009)",Deserts and xeric shrublands,Tropical,Terrestrial,Plants,15,David Lightfoot,NA,34.3145892905955,-106.83151905834933
342,Brazil Dataset 2,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,19,Giselda Durigan,NA,-22.701100117651848,-50.51720192110774
343,Brazil Dataset 3,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,18,Giselda Durigan,NA,-22.02334777070004,-49.917800398591474
344,Brazil Dataset 4,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA,-22.597203209905594,-50.36889720159357
345,Brazil Dataset 5,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA,-22.60890134596782,-50.395299972700585
346,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,10,Carolina Mathias Moreira,"Ana Paula Savassi-Coutinho Giselda Durigan Vincius Castro Souza Natlia Macedo Ivanauskas Ricardo Ribeiro Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",-22.592996129256512,-50.378598964488404
347,Zooplankton community of the Vitoria Bay estuarine system (southeastern Brazil). Characterization during a three-year study,Tropical seas,Tropical,Marine,Invertebrates,3,Jose Mauro Sterza,Luiz Loureiro Fernandes,-20.28880101770499,-40.32300595400281
349,St. M polychaete species time-series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,21,Claire Laguionie-Marchais,Henry Ruhl,34.91799422670068,-123.0256224891507
350,Megafauna PAP time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,23,Claire Laguionie-Marchais,Henry Ruhl,48.999996291359345,-16.500000514871353
351,Megafauna Sta M time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Claire Laguionie-Marchais,Henry Ruhl,34.83332891558467,-122.9999966729373
352,Flooded forest plot sampling in Peru,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,4,Randall W. Myster,NA,-1.9999996570581136,-74.99999578609538
353,La Planada Forest Dynamics Plots,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,7,Natalia Norden Medina,NA,1.1557996219150761,-77.99349730110849
355,Plant Species Composition on Selected Watersheds at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,33,David C. Hartnett,Scott L. Collins,39.08332944603091,-96.5833332010564
357,Small Mammal Trapping Webs on the Central Plains Experimental Range,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,13,Paul Stapp,NA,40.82889176898201,-104.75819958136732
358,Neotropical Migratory Bird Communities in a Developing Pine Plantation,Temperate coniferous forest,Temperate,Terrestrial,Birds,16,H Williamson,NA,31.583328838212687,-94.81666076867364
359,SBC LTER Reef Kelp Forest Community Dynamics Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,13,Santa Barbara Coastal LTER,Daniel C Reed,34.308907551787804,-119.87415254603619
360,Bialowieza National Park bird assemblage,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,40,Tomasz Wesolowski,NA,52.716666607455416,24.266662059805014
361,A long-term bird population study in an Appalachian spruce forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,22,JSTOR,NA,38.6099981112506,-79.83471666514455
362,Plant and small-mammal responses to large-herbivore exclusion in an African savanna,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,4,Tyler R. Kartzinel,NA,0.3892360212628687,36.89156323037953
363,The 37-year dynamics of a subalpine bird community with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles.,Tundra,Temperate,Terrestrial,Birds,37,Anders Enemar,NA,65.96805352823273,16.316665456507987
364,Long-term reductions in anthropogenic nutrients link to improvements in Chesapeake Bay habitat,Large river ecosystems,Temperate,Freshwater,Plants,18,Nancy Rybicki,Henry Ruhl,38.900998422884385,-77.06900457505326
365,Hahei marine dataset (1997-2002),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,6,Trevor Willis,NA,-37.256483982316915,176.3251290599641
366,Small Mammal Exclosure Study (SMES),Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,25,David Lightfoot,NA,34.350002989822706,-106.88000484237568
368,Monitoring site 1000 Land waters research- Lakes benthic animal research,Small lake ecosystems,Temperate,Freshwater,Invertebrates,2,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NPO Japan Wetlands International,35.37889897076058,136.09660201848496
369,Monitoring site 1000 Alpine research - Surface wandering beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,6,General Foundation Natural Environment Research Center monitoring site 1000 alpine zone personnel,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Department,36.147100160071965,136.76826312815365
378,Calafuria Mid-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Lisandro Benedetti Cecchi,NA,43.46936286313776,10.335962934409551
379,Calafuria Low-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,24,Lisandro Benedetti Cecchi,NA,43.46936286313776,10.335962934409551
380,Monitoring butterfly numbers,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,10,GPDD,NA,50.84630134325529,0.055199999247998205
381,Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Multiple,7,R A How,NA,-31.933298775631094,115.7666039326234
382,Small Mammals and Vegetation Changes After Fire in a Mixed Conifer-Hardwood Forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,13,Contact at GPDD,NA,47.83333405564887,-91.83333563716414
383,Boubin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,39,Tomas Vrska,Kamil Kral,48.97760764280312,13.810903770551937
384,Cahnov-Soutok,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,48.65523832062072,16.941158981370073
385,Milesice,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral,48.984706025907514,13.838608611582519
386,Mionsi-V,Temperate coniferous forest,Temperate,Terrestrial,Plants,16,Tomas Vrska,Kamil Kral,49.53635774493047,18.660272298979358
387,Mionsi-R,Temperate coniferous forest,Temperate,Terrestrial,Plants,52,Tomas Vrska,Kamil Kral,49.537747734075595,18.661164913264912
388,Mionsi-C,Temperate coniferous forest,Temperate,Terrestrial,Plants,58,Tomas Vrska,Kamil Kral,49.53610920473107,18.65452006043958
389,Ranspurk,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,48.6788161382218,16.948157469763416
390,Razula,Temperate coniferous forest,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,49.35978831573776,18.38193375358038
391,Salajka,Temperate coniferous forest,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,49.40188231186755,18.41951539223758
392,Stozec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral,48.879721518810584,13.835814953359787
393,Velka Ples,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,49.989613505729174,13.80338044633169
394,Zakova hora,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,49.654694175068656,15.990502211760736
395,Zofin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,48.66658216046875,14.706822402015819
396,Doutnac,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Tomas Vrska,Kamil Kral,49.95532114700679,14.15337650468883
397,Polednik,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Tomas Vrska,Kamil Kral,50.861833178450375,15.153151663780992
398,Polom,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,23,Tomas Vrska,Kamil Kral,49.789846892234046,15.752194205215922
399,V Kluci,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,28,Tomas Vrska,Kamil Kral,49.31324194312957,15.5229203667527
400,Jirina,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,22,Tomas Vrska,Kamil Kral,50.23658052537691,14.562979264268852
401,Kohoutov,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,21,Tomas Vrska,Kamil Kral,49.92246344989443,13.772106308968407
