STUDY_ID,CENT_LAT,CENT_LONG,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2,sites_n
68,-32.482669,20.02901,Marine and Coastal Management - Copepod Surveys (AfrOBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,13,Hans Verheye,NA,2569
69,54.783267,-4.26303,Seabird 2000 (EurOBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Birds,10,Ian Mitchell,Info at Birdwatch Ireland,1476
75,70.076056,-132.943077,Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,Polar ecoregions,Polar,Marine,Invertebrates,3,C Hopcroft,Cheryl Clarke-Hopcroft,112
76,53.928422,-0.500147,A comparison of benthic biodiversity in the North Sea. English Channel and Celtic Seas,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,5,H Rees,NA,58
77,38.696508,-0.675526,MEDITS Seabird surveys 1999 - 2000 - 2002,Temperate shelf and seas ecoregions,Temperate,Marine,Birds,4,Maite Louzao,Daniel Oro,703
78,56.729642,18.236359,IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,26,Michael Zettler,NA,19
81,57.767014,-2.642995,CRRU Cetacean sighting in Scotland waters 1997-2010,Temperate shelf and seas ecoregions,Temperate,Marine,Mammals,14,Kevin Robinson,NA,1600
86,44.682583,35.439567,Phytoplankton of the Ukrainian Black Sea shelf (1985-2005),Temperate shelf and seas ecoregions,Temperate,Marine,Plants,23,Natalya Derezuyk,Francisco Hernandez,720
87,51.54925,3.912051,Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990),Temperate shelf and seas ecoregions,Temperate,Marine,Plants,9,Peter Herman,NA,2
90,44.775118,-2.829299,Zooplankton in the Bay of Biscay (1995-2004. yearly DEPM surveys),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,10,Unai Cotano,Francisco Hernandez,499
91,57.038966,20.555517,Baltic seabirds transect surveys,Temperate shelf and seas ecoregions,Temperate,Marine,Birds,8,Gedas Vaitkus,NA,2329
96,78.976041,83.86024,Structure and function of contemporary food webs on Arctic shelves A panarctic comparison. The pelagic system of the Kara Sea- communities and components of carbon flow (ArcOD/AOOS),Polar ecoregions,Polar,Marine,Invertebrates,5,C Hopcroft,Cheryl Clarke-Hopcroft,100
97,72.739441,10.694448,Archives of the Arctic Seas Zooplankton (ARC),Multiple ecoregions,Polar/Temperate,Marine,Invertebrates,53,Information Manager,NA,802
98,70.143381,-134.563274,Zoobenthos data from the Southern Beaufort Sea. 1971-1975 (ArcOD/AOOS),Polar ecoregions,Polar,Marine,Invertebrates,5,C Hopcroft,Cheryl Clarke-Hopcroft,93
99,-22.96354,125.34396,"CSIRO, fish surveys by the Courageous, 1978-1979",Multiple,Temperate/Tropical,Marine,Fish,2,Dave Watts,NA,305
108,-27.17355,3.945813,Seabirds of the Southern and South Indian Ocean (Australian Antarctic Data Centre),Multiple ecoregions,Global,Marine,Birds,30,Dave Watts,Eric Woehler,57723
110,55.523995,-3.240631,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,47,Steve Wilkinson,Contact at CEH,987
112,24.981493,-51.374069,NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data (SEFSC_POP),Multiple ecoregions,Temperate/Tropical,Marine,Fish,33,Guillermo Diaz,NA,93906
113,2.695167,-10.86341,Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data),Multiple ecoregions,Global,Marine,Invertebrates,35,P Pugh,NA,2207
117,-39.371733,3.081897,South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,48,Steve Massey,Don Robertson,1394
119,43.987425,-63.669701,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,41,Don Clark,NA,13507
120,10.778,-169.454,CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008 (OBIS-USA),Tropical coral,Temperate/Tropical,Marine,Plants,7,Coral Ecologist Team Lead (NOAA),NA,466
121,10.778,-169.454,CRED Rapid Ecological Assessments of Fish Belt Transect Surveys and Fish Stationary Point Count Surveys in the Pacific Ocean 2000-2010 (OBIS-USA),Tropical coral,Temperate/Tropical,Marine,Fish,11,Coral Ecologist Team Lead (NOAA),NA,52
122,10.778,-169.454,CRED Rapid Ecological Assessments of Coral Population in the Pacific Ocean 2007-2010 (OBIS-USA),Tropical seas,Temperate/Tropical,Marine,Invertebrates,4,Coral Ecologist Team Lead (NOAA),NA,546
123,43.891199,-68.940737,Maine Department of Marine Resources Inshore Trawl Survey 2000-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,10,Sally Sherman,David Libby,1749
124,41.570974,-70.509903,A Biological Survey of the Waters of Woods Hole and Vicinity,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,7,Richard Osman,Ajay R,323
125,31.441647,-78.848859,MARMAP Chevron Trap Survey 1990-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,13,Tracy Smart,Marcel Reichert,422
126,31.250847,-78.751587,MARMAP Neuston Nets 1990-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,8,Tracy Smart,Marcel Reichert,467
127,32.334695,-78.992262,MARMAP Florida Antillean Trap Survey 1990-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,10,Tracy Smart,Marcel Reichert,173
128,41.380803,-67.446981,Zooplankton Sampled with 10m2MOCNESS Net in Georges Bank 1995-1999 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,5,Laurence Madin,Erich Horgan,39
129,27.694737,-89.141039,South TX Outer Continental Shelf and MI. AL. and FL Outer Continental Shelf benthic organism sampling 1974-1978 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,5,NODC Contact (NOAA),NA,431
133,-14.616657,-42.219116,Copepods (Tropical and Subtropical Western South Atlantic OBIS),Multiple ecoregions,Temperate/Tropical,Marine,Invertebrates,8,Fabio L. Silveira,Alexandre Marino,95
135,-13.021508,-45.166281,Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),Temperate shelf and seas ecoregions,Temperate/Tropical,Marine,Fish,15,Alexandre Marino,Evberghe,1796
142,-27.327812,-45.330092,Pelagic and Demersal Fish Database II. REVIZEE South Area (WSAOBIS),Multiple ecoregions,Temperate/Tropical,Marine,Fish,6,Alexandre Marino,NA,276
147,-21.686209,-22.808747,South Western Pacific Regional OBIS Data Bryozoan Subset (South Western Pacific OBIS),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,130,Steve Massey,NA,555
148,-42.407,172.26,South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS),Temperate shelf and seas ecoregions,Temperate/Tropical,Marine,Fish,42,Steve Massey,NA,28332
150,-62.155019,-58.478947,Admiralty Bay Benthos Diversity Data Base (ABBED). ,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,8,Jacek Sicinski,Bruno Danis,115
152,43.855961,3.065693,CMarZ (Census of Marine Zooplankton)-Asia Database,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,26,Shuhei Nishida,Hiroomi Miyamoto,138
162,36.76236,-116.837677,EPA'S EMAP Database,Multiple ecoregions,Temperate/Tropical,Marine,Invertebrates,15,Stephen Hale,NA,6050
163,56.5,-168.15,North Pacific Groundfish Observer (North Pacific Research Board),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,12,Karen Stocks,NA,1827
164,44.210853,-106.505293,North American Sessile Marine Invertebrate SurveyCitation ,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,6,G Ruiz,B Steves,224
166,36.075242,-70.991806,PIROP Northwest Atlantic 1965-1992 (SEAMAP),Multiple ecoregions,Global,Marine,Multiple,28,Andy Read,Westgate,51670
169,34.858456,-121.614941,CalCOFI and NMFS Seabird and Marine Mammal Observation Data. 1987-2006 (SEAMAP),Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,20,Bill Sydeman,K D Hyrenbach,27979
171,24.896312000000002,-76.292011,Bahamas Marine Mammal Research Organisation Opportunistic Sightings (SEAMAP),Multiple ecoregions,Temperate/Tropical,Marine,Mammals,21,Charlotte Dunn,Info at Bahamas Whales,2362
172,35.009739,-24.224698,POPA cetacean. seabird. and sea turtle sightings in the Azores area 1998-2009 (OBIS SEAMAP),Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,12,Andy Read,Patrick Halpin,34883
173,-4.228324,130.723197,Marine Biological Sample Database. JAMSTEC (OBIS_JAPAN),Multiple ecoregions,Temperate/Tropical,Marine,Invertebrates,17,Tohru Iseto,NA,721
176,45.073359,-60.564453,Atlantic Zone Monitoring Program Maritimes Region (AZMP) plankton datasets. In Fisheries and Oceans Canada - BioChem archive (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,13,Jeff Spry,Mary Kennedy,1232
178,53.54327,-140.266034,Pacific Shrimp Trawl Survey (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,45,James Boutillier,NA,8032
180,37.770564,-50.792666,ECNASAP - East Coast North America Strategic Assessment (OBIS Canada),Polar ecoregions,Polar/Temperate,Marine,Fish,26,Bob Branton,NA,43126
182,47.480915,-62.76169,Snow crab research trawl survey database (Southern Gulf of St. Lawrence. Gulf region. Canada) from 1988 to 2010 (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,22,Mary Kennedy,NA,5765
183,43.776648,-63.751421,DFO Maritimes Research Vessel Trawl Surveys Invertebrate Observations (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,13,John Tremblay,Bob Branton,4475
184,66.861569,-68.964445,DFO Central and Arctic Multi-species Stock Assessment Surveys (OBIS_CANADA),Polar ecoregions,Polar/Temperate,Marine,Invertebrates,5,Tim Siferd,NA,685
186,-17.98699,148.04742100000001,CSIRO - Great Barrier Reef seabed biodiversity study 2003-2006,Tropical coral,Temperate/Tropical,Marine,Invertebrates,4,Tony Rees,"Jane Fromont, Roland Pitcher",1251
187,34.142351,-118.632839,National Benthic Infaunal Database (NOAA NBI),Temperate shelf and seas ecoregions,Temperate/Tropical,Marine,Invertebrates,16,Contact at NCCOS (NOAA),Leslie Irwin,2156
189,18.308752,-64.748777,St. John. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA,1510
190,17.756969,-64.604258,St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA,2000
191,39.123056,-66.64136,NEFSC Benthic Database (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,76,Steven Fromm,NA,4386
192,-62.076411,79.717188,Whale Catches in Southern Ocean (OBIS - Australian Antarctic Data Centre),Polar ecoregions,Polar/Temperate,Marine,Mammals,49,Dave Watts,NA,455
194,44.244,-122.158,Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest. 1994 to 2004,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,11,Julia Jones,Jeffrey Miller,1
195,40.809241,-96.187269,Breeding birds survey North America,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,30,Brian McGIll,Keith Pardieck,440
196,60.466447,-1.322878,SOTEAG Rocky Shore Survey (Sullom Voe),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,37,Rebecca Kinnear,Jon Moore,47
199,23.948044,120.75322799999999,Taiwan bottom trawl survey,Tropical seas,Temperate/Tropical,Marine,Fish,4,Kwang-Tsao Shao,Yung-Chang Lin (Jack),48
200,35.691706,-74.090761,NEFSC Benthic Database (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,34,Steven Fromm,NA,2427
201,2.982,102.313,Pasoh Forest Dynamics Plot. Malaysia - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Christine Fletcher,Abd Rahman Kassim,1
202,11.5989,76.5338,Mudumalai Forest Dynamics Plot. India - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,13,R Sukuman,Sandeep Pulla,1
204,51.439215,2.682711,MACROBEL Long term trends in the macrobenthos of the Belgian Continental Shelf,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,26,Tom Moens,NA,768
211,32.900962,-78.685508,MARMAP Fly Net 1990-2009,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,8,Tracy Smart,Marcel Reichert,60
212,31.940762,-78.825083,MARMAP Yankee Trawl 1990-2009,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,8,Tracy Smart,Marcel Reichert,1051
213,36.625131,-72.635974,Northeast Fisheries Science Center Bottom Trawl Survey Data (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,61,Linda Despres,NA,30824
214,45.34296,-122.799,Long-term growth mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest 1910 to present,Temperate coniferous forest,Temperate,Terrestrial,Plants,101,Mark E. Harmon,Robert J. Pabst and Suzanne M. Remillard,151
217,46.828888,-109.981603,Landbird Monitoring Program (UMT-LBMP),Multiple ecoregions,Temperate,Terrestrial,Birds,15,Richard L. Hutto,NA,13800
221,64.844229,-148.051765,Vegetation Plots of the Bonanza Creek LTER Control Plots Species Count (1975 - 2004),Boreal forests/Taiga,Temperate,Terrestrial,Plants,34,Teresa Hollingsworth,NA,32
224,45.4,-93.2,Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Peter Reich,NA,1
225,33.43,-111.93,Point count bird censusing long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix period 2000 to 2011,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,12,Nancy Grimm,NA,1
226,33.43,-111.93,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,3,Nancy Grimm,NA,1
227,39.787579,-74.133736,Coastal ecological data from the Virginian Biogeographic Province 1990 to 1993,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,4,Stephen S. Hale,NA,371
228,39.787579,-74.133736,Coastal ecological data from the Virginian Biogeographic Province 1990 to 1993,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,4,Stephen S. Hale,NA,400
229,35.138164,-83.385518,Upper Little Tennessee River Biomonitoring Program Database - LTWA Biomonitoring Database,Small river ecosystems,Temperate,Freshwater,Fish,26,William O. McLarney,NA,228
230,25.671704,-80.593082,Macrophyte count data collected from Northeast Shark Slough Everglades National Park (FCE) from September 2006 to Present,Flooded grasslands and savannas,Temperate,Marine,Plants,3,Evelyn?Gaiser,Evelyn Gaiser,30
231,25.33506,-80.777199,"Consumer Stocks: Fish, Vegetation, and other Non-physical Data from Everglades National Park (FCE LTER), South Florida, USA from February 2000 to April 2005",Flooded grasslands and savannas,Temperate,Freshwater,Multiple,6,Joel Trexler,Florida Coastal Everglades LTER Program,2
232,-62.267327,101.702091,Pelagic Fish Observations 1968-1999,Polar Ecoregions,Polar/Temperate,Marine,Fish,32,Dick Williams,NA,1156
233,42.53,-72.19,HF044. Land Use on the Southern New England and New York Coasts 1600-2001,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,3,David Foster,NA,1
234,43.95346,-71.73956,"Forest Inventory of a Northern Hardwood Forest: Watershed 6, Hubbard Brook Experimental Forest (Trees &gt;=10cm dbh, 1977-2017)",Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,41,"Information Manager, Hubbard Brook LTER",NA,1
235,43.953055,-71.735314,Forest Inventory of a Northern Hardwood Forest Watershed 5,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,20,Information Manager at Hubbard Brook LTER,NA,1
236,39.0931,-96.5586,Fish population on selected watersheds at Konza Prairie - CFP012 - Konza fish population,Small river ecosystems,Temperate,Freshwater,Fish,12,Keith B Gido,NA,1
237,43.025171,-89.325378,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,19,Emily Stanley,NA,4
238,43.0716,-89.3971,North Temperate Lakes LTER Zooplankton - Madison Lakes Area 1997 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,20,Emily Stanley,NA,3
239,34.35,-106.88,Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge New Mexico 1999-2001,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,3,Douglas I. Moore,NA,1
240,34.35,-106.88,Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge New Mexico (2003-present ),Deserts and xeric shrublands,Temperate,Terrestrial,Plants,13,Sevilleta LTER Information Manager,NA,1
241,9.3636,-79.9547,Sherman Forest Dynamics Plot Panama,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Richard Condit,NA,1
242,45.993278,-74.001571,Lac Croche understory vegetation data set (1998 to 2006),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Alain Paquette,NA,43
243,37.446634,-75.667464,Long-term N-fertilized vegetation plots on Hog Island Virginia Coastal Barrier Islands 1992 to 2014,Temperate coniferous forest,Temperate,Terrestrial,Plants,23,Frank Day,NA,4
245,51.058813,4.265099,Migratory Fishes in the river Scheldt Trekvis,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,4,Maarten Stevens,NA,42
246,25.244306,121.624306,Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Kwang-Tsao Shao,NA,2
247,43.196619,-75.919813,Zooplankton survey of Oneida Lake New York 1964 to present,Small Lake Ecosystems,Temperate,Freshwater,Invertebrates,46,Lars Rudstam,Kristen Holeck,6
248,43.833333,-102.166667,Evidence for long-term shift in plant community composition under decadal experimental warming,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,13,Zheng Shi,NA,1
249,55.702512,12.558956,Resource specialists lead local insect community turnover associated with temperature - analysis of an 18-year full-seasonal record of moths and beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,16,Peter Jorgensen,Philip Thomsen,1
252,32.453878,-78.968171,MARMAP Blackfish Trap Survey 1990-2009,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,13,Marcel Reichert,NA,218
253,46.03449,-89.66732,North Temperate Lakes LTER Zooplankton - Trout Lake Area 1982 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,40,NTL LTER Information Manager,NTL LTER Lead PI,7
254,43.1356,-89.47808,North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current,Small Lake Ecosystems,Temperate,Freshwater,Plants,26,John J. Magnuson,NTL LTER,4
255,46.3667,-87.1333,Multi-decade. spatially explicit population studies of canopy dynamics in Michigan old-growth forests,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,15,Kerry D. Woods,NA,1
257,43.08111,-89.383155,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - new net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,4,Emily Stanley,NA,2
270,41.3,1.9,Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community.,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Plants,4,Francisco Lloret,NA,1
271,34.305653,-119.874919,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000",Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Dan Reed,NA,42
272,34.305542,-119.87585,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA,11
273,34.305542,-119.87585,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA,11
274,34.305653,-119.874919,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact",Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,15,Dan Reed,NA,41
275,-31.967534,115.83329,Response of an urban remnant reptile community to summer wildfire,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Reptiles,6,Dr Rob A. Davis,Dr Tim S. Doherty,10
276,43.2,-76.0667,Eutrophication and Dreissena Invasion as Drivers of Biodiversity A Century of Change in the Mollusc Community of Oneida Lake,Small lake ecosystems,Temperate,Freshwater,Invertebrates,96,Vadim Karatayev,NA,1
278,-42.407,172.26,South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS),Temperate shelf and seas ecoregions,Temperate/Tropical,Marine,Fish,45,Steve Massey,NA,4894
280,70.224113,-134.367174,Zoobenthos data from the Southern Beaufort Sea. 1971-1975 (ArcOD/AOOS),Polar ecoregions,Polar,Marine,Invertebrates,5,C Hopcroft,Cheryl Clarke-Hopcroft,33
282,70.023511,-132.809137,Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,Polar ecoregions,Polar,Marine,Invertebrates,4,C Hopcroft,Cheryl Clarke-Hopcroft,103
283,70.187963,-133.93737,Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,Polar ecoregions,Polar,Marine,Invertebrates,2,C Hopcroft,Cheryl Clarke-Hopcroft,61
284,-11.20568,-43.616987,Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),Multiple ecoregions,Temperate/Tropical,Marine,Fish,15,Alexandre Marino,NA,1174
285,-15.244259,-46.667196,Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),Multiple ecoregions,Temperate/Tropical,Marine,Fish,18,Alexandre Marino,NA,490
286,43.897252,-68.922052,Maine Department of Marine Resources Inshore Trawl Survey 2000-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,10,Sally Sherman,David Libby,678
287,43.856176,-68.983682,Maine Department of Marine Resources Inshore Trawl Survey 2000-2009 (OBIS-USA),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,9,Sally Sherman,David Libby,493
288,43.977389,-63.682015,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,37,Don Clark,NA,6474
289,43.984379,-63.348474,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,16,Don Clark,NA,189
290,-35.3536,152.6777,"CSIRO, Catch records from eddy studies off the New South Wales coast, Australia 1979-1989",Multiple,Temperate/Tropical,Marine,Multiple,2,Dave Watts,NA,145
291,-26.85423,137.28515,"CSIRO, fish surveys by the Soela, 1980s",Multiple,Temperate/Tropical,Marine,Fish,5,Dave Watts,NA,358
