STUDY_ID,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2
338,Dynamics and Organization of a Rocky Intertidal Fish Assemblage,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,3,Gary D Grossman,NA
339,Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,57,Soren Svensson,NA
340,"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (1995-2009)",Deserts and xeric shrublands,Tropical,Terrestrial,Plants,15,David Lightfoot,NA
342,Brazil Dataset 2,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,19,Giselda Durigan,NA
343,Brazil Dataset 3,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,18,Giselda Durigan,NA
344,Brazil Dataset 4,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA
345,Brazil Dataset 5,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA
346,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,10,Carolina Mathias Moreira,"Ana Paula Savassi-Coutinho Giselda Durigan Vincius Castro Souza Natlia Macedo Ivanauskas Ricardo Ribeiro Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno"
347,Zooplankton community of the Vitoria Bay estuarine system (southeastern Brazil). Characterization during a three-year study,Tropical seas,Tropical,Marine,Invertebrates,3,Jose Mauro Sterza,Luiz Loureiro Fernandes
349,St. M polychaete species time-series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,21,Claire Laguionie-Marchais,Henry Ruhl
350,Megafauna PAP time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,23,Claire Laguionie-Marchais,Henry Ruhl
351,Megafauna Sta M time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Claire Laguionie-Marchais,Henry Ruhl
352,Flooded forest plot sampling in Peru,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,4,Randall W. Myster,NA
353,La Planada Forest Dynamics Plots,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,7,Natalia Norden Medina,NA
355,Plant Species Composition on Selected Watersheds at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,33,David C. Hartnett,Scott L. Collins
357,Small Mammal Trapping Webs on the Central Plains Experimental Range,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,13,Paul Stapp,NA
358,Neotropical Migratory Bird Communities in a Developing Pine Plantation,Temperate coniferous forest,Temperate,Terrestrial,Birds,16,H Williamson,NA
359,SBC LTER Reef Kelp Forest Community Dynamics Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,13,Santa Barbara Coastal LTER,Daniel C Reed
360,Bialowieza National Park bird assemblage,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,40,Tomasz Wesolowski,NA
361,A long-term bird population study in an Appalachian spruce forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,22,JSTOR,NA
362,Plant and small-mammal responses to large-herbivore exclusion in an African savanna,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,4,Tyler R. Kartzinel,NA
363,The 37-year dynamics of a subalpine bird community with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles.,Tundra,Temperate,Terrestrial,Birds,37,Anders Enemar,NA
364,Long-term reductions in anthropogenic nutrients link to improvements in Chesapeake Bay habitat,Large river ecosystems,Temperate,Freshwater,Plants,18,Nancy Rybicki,Henry Ruhl
365,Hahei marine dataset (1997-2002),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,6,Trevor Willis,NA
366,Small Mammal Exclosure Study (SMES),Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,25,David Lightfoot,NA
368,Monitoring site 1000 Land waters research- Lakes benthic animal research,Small lake ecosystems,Temperate,Freshwater,Invertebrates,2,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NPO Japan Wetlands International
369,Monitoring site 1000 Alpine research - Surface wandering beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,6,General Foundation Natural Environment Research Center monitoring site 1000 alpine zone personnel,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Department
378,Calafuria Mid-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Lisandro Benedetti Cecchi,NA
379,Calafuria Low-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,24,Lisandro Benedetti Cecchi,NA
380,Monitoring butterfly numbers,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,10,GPDD,NA
381,Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Multiple,7,R A How,NA
382,Small Mammals and Vegetation Changes After Fire in a Mixed Conifer-Hardwood Forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,13,Contact at GPDD,NA
383,Boubin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,39,Tomas Vrska,Kamil Kral
384,Cahnov-Soutok,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral
385,Milesice,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral
386,Mionsi-V,Temperate coniferous forest,Temperate,Terrestrial,Plants,16,Tomas Vrska,Kamil Kral
387,Mionsi-R,Temperate coniferous forest,Temperate,Terrestrial,Plants,52,Tomas Vrska,Kamil Kral
388,Mionsi-C,Temperate coniferous forest,Temperate,Terrestrial,Plants,58,Tomas Vrska,Kamil Kral
389,Ranspurk,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral
390,Razula,Temperate coniferous forest,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral
391,Salajka,Temperate coniferous forest,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral
392,Stozec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral
393,Velka Ples,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral
394,Zakova hora,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral
395,Zofin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral
396,Doutnac,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Tomas Vrska,Kamil Kral
397,Polednik,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Tomas Vrska,Kamil Kral
398,Polom,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,23,Tomas Vrska,Kamil Kral
399,V Kluci,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,28,Tomas Vrska,Kamil Kral
400,Jirina,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,22,Tomas Vrska,Kamil Kral
401,Kohoutov,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,21,Tomas Vrska,Kamil Kral
403,Community ecology of anura amphibia at Northwest region of Sao Paulo state,Small lake ecosystems,Tropical,Freshwater,Amphibians,7,Denise de Cerqueira Rossa-Feres,NA
404,Brazil Dataset 7,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,3,Gabriella Damasceno,Alessandra Fidelis
405,Brazil Dataset 8,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,3,Alessandra Fidelis,NA
406,Short-term changes caused by fire and mowing in Brazilian Campos grasslands with different long-term fire histories,"Tropical and subtropical grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,3,Alessandra Fidelis,NA
412,Icthyoplankton data collected from Yenliao Bay in 6 stations northeast of Taiwan (1995-2000),Tropical seas,Temperate,Marine,Fish,6,Chih-hao Hsieh (Zac),NA
413,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,50,Author now deceased,NA
414,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,53,Author now deceased,NA
415,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,19,Author now deceased,NA
416,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,26,Author now deceased,NA
419,Data collected aboard cruises off the coast of the Western Antarctic Penninsula,Polar ecoregions,Temperate,Marine,Birds,19,William R Fraser,NA
426,Phytoplankton time series from Lake Zurich,Small lake ecosystems,Temperate,Freshwater,Invertebrates,35,Francesco Pomati,NA
427,Zooplankton time series from Lake Zurich,Small lake ecosystems,Temperate,Freshwater,Invertebrates,32,Francesco Pomati,NA
429,Scleractinian corals from Orpheus and Magnetic Islands 2013 to 2020,Tropical coral,Tropical,Marine,Invertebrates,8,Chao-Yang Kuo,Andrew Baird
434,Summer Phytoplankton Densities 1992-2001,Small lake ecosystems,Polar,Freshwater,Invertebrates,10,Diane McKnight,John Priscu
437,Aceh WCS fish survey 2010 to 2016,Tropical coral,Tropical,Marine,Fish,7,Andrew Hoey,NA
438,Aceh WCS fish surveys,Tropical coral,Tropical,Marine,Fish,9,Andrew Hoey,NA
439,Long-term dynamics of bird populations in pine forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA
440,Long-term dynamics of bird populations in pine-birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA
441,Long-term dynamics of bird populations in birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA
442,Composition and abundance of bird species in the village Matabay in June 1980-1985 (absolute indicators (area 025 km2)),Montane grasslands and shrublands,Temperate,Terrestrial,Birds,6,Roberto Cazzolla Gatti,NA
443,Composition and abundance of bird species in the village Verhnjaja Elovka in June 1980-1985 (absolute indicators (area 025 km2)),Montane grasslands and shrublands,Temperate,Terrestrial,Birds,4,Roberto Cazzolla Gatti,NA
444,The dynamics of species composition and abundance of migratory birds of prey in the Irkut River mouth (absolute figures),Boreal forests/taiga,Temperate,Terrestrial,Birds,5,Roberto Cazzolla Gatti,NA
445,A number of waterfowl after periods of breeding and molting in the lower reaches of Ob River (thous. individuals / 22 thous. km2),Large river ecosystems,Temperate,Terrestrial,Birds,3,Roberto Cazzolla Gatti,NA
446,The density of population (ind/1000ha.) of hunting species of mammals in the Republic of Mordovia (Chamzinsky district),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,5,Roberto Cazzolla Gatti,NA
447,Long-term population dynamics of small mammals in the Natural Boundary Morozova Gora (individuals / 100 trap-nights),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,9,Roberto Cazzolla Gatti,NA
448,Number of small mammals in Verkhnyaya Angara basin (accounting period since 20.07 to 20.08 individuals /100 trap-nights,Boreal forests/taiga,Temperate,Terrestrial,Mammals,4,Roberto Cazzolla Gatti,NA
449,Indicators of abundance (individuals / 100 trap-nights) of different species of small mammals in different years with using trap grooves and a coefficient characterizing the adverse conditions winter,Boreal forests/taiga,Temperate,Terrestrial,Mammals,10,Roberto Cazzolla Gatti,NA
450,Composition (%) and biomass (thous. tons) of fish species  in Olyutorsky-Navarin area in 2005-2012,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,8,Roberto Cazzolla Gatti,NA
